Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
ZNF668	q<=5.0e-20	5.1	2.6	0.94
FAM66C	2.5e-09	1.3	2.4	-0.94
CBLN4	8.7e-06	1.0	1.9	-0.94
HMCN1	9.8e-06	4.7	9.0	-0.94
NTN5	1.3e-09	1.0	1.9	-0.94
SPAG4	q<=5.0e-20	6.8	3.6	0.94
GPR137C	q<=5.0e-20	2.1	1.1	0.94
L3HYPDH	q<=5.0e-20	5.0	9.7	-0.94
AMOT	8.9e-12	12.9	24.7	-0.94
STRBP	q<=5.0e-20	37.3	19.4	0.94
ADAM22	2.2e-09	2.6	5.0	-0.94
PVT1	1.3e-15	24.7	12.9	0.94
SLC2A10	q<=5.0e-20	49.5	25.8	0.94
SLC25A39	q<=5.0e-20	239.5	125.0	0.94
EZR	q<=5.0e-20	329.7	172.5	0.94
LIME1	q<=5.0e-20	2.3	1.2	0.94
PDGFC	q<=5.0e-20	17.3	33.2	-0.94
SOCS5	q<=5.0e-20	19.4	37.1	-0.94
SNORD104	q<=5.0e-20	15.6	8.1	0.94
SAMD1	q<=5.0e-20	60.4	31.5	0.94
PPP1R3G	1.0e-18	1.0	1.9	-0.94
CPNE2	q<=5.0e-20	25.4	48.8	-0.94
RBFOX2	q<=5.0e-20	36.1	69.2	-0.94
ACADVL	q<=5.0e-20	214.8	412.2	-0.94
ANG	5.2e-16	14.4	27.6	-0.94
NXPH4	q<=5.0e-20	2.8	1.5	0.94
SLC7A8	q<=5.0e-20	108.5	56.4	0.94
ABHD17C	q<=5.0e-20	31.0	16.2	0.94
SH2D3C	9.3e-18	13.7	26.3	-0.94
COX4I2	3.0e-10	5.9	11.2	-0.94
CANT1	q<=5.0e-20	117.2	61.0	0.94
PHGR1	6.4e-11	1.0	1.9	-0.94
ADPRH	q<=5.0e-20	9.3	17.7	-0.94
EBP	q<=5.0e-20	33.1	17.3	0.94
ZNF25	q<=5.0e-20	9.6	18.3	-0.94
EME2	q<=5.0e-20	25.8	13.5	0.93
WDPCP	7.9e-15	4.6	8.8	-0.93
MAST4	4.1e-10	15.0	28.5	-0.93
CLDN3	q<=5.0e-20	118.2	62.1	0.93
GJC3	8.4e-06	6.5	12.4	-0.93
TAS2R5	3.6e-04	1.0	2.0	-0.93
PODXL	q<=5.0e-20	51.2	97.3	-0.93
ZNF501	q<=5.0e-20	3.3	6.3	-0.93
RUNX2	q<=5.0e-20	10.6	5.6	0.93
BOK	4.1e-11	37.1	71.0	-0.93
ASPH	1.8e-11	155.0	296.0	-0.93
PKP3	q<=5.0e-20	62.9	33.0	0.93
JMJD1C	1.8e-17	22.0	41.9	-0.93
ABRACL	q<=5.0e-20	114.0	59.8	0.93
RMI1	q<=5.0e-20	15.8	8.3	0.93
SPAG1	q<=5.0e-20	11.6	6.1	0.93
SELL	4.0e-05	11.4	6.0	0.93
CLCN2	q<=5.0e-20	5.5	2.9	0.93
PPP1R35	q<=5.0e-20	15.4	8.1	0.93
PCYOX1	1.0e-18	68.4	130.7	-0.93
ZFP2	q<=5.0e-20	2.9	5.5	-0.93
TFDP2	q<=5.0e-20	14.2	27.0	-0.93
PTPRN2	6.9e-16	3.0	5.8	-0.93
DNAJC1	q<=5.0e-20	85.2	44.9	0.93
RORA	2.1e-14	4.1	7.9	-0.93
MZT2A	q<=5.0e-20	139.9	73.3	0.93
TIMM17B	q<=5.0e-20	83.8	44.1	0.93
TSPAN6	q<=5.0e-20	29.2	55.5	-0.93
RNASE2	2.1e-11	1.9	1.0	0.93
FBXL22	2.8e-13	1.5	2.9	-0.93
RIPOR2	1.0e-03	3.5	6.7	-0.93
TRAIP	q<=5.0e-20	8.1	4.3	0.92
CCNG1	q<=5.0e-20	97.2	183.8	-0.92
B4GALT3	q<=5.0e-20	85.2	45.1	0.92
LUZP1	q<=5.0e-20	12.8	24.3	-0.92
RAB11FIP2	q<=5.0e-20	7.5	14.2	-0.92
TSPAN18	4.4e-13	10.9	20.5	-0.92
DMXL1	2.9e-16	10.5	19.7	-0.92
TTPA	3.8e-07	1.0	1.9	-0.92
SYNE4	q<=5.0e-20	34.8	18.4	0.92
HOXB-AS1	1.3e-05	3.7	7.0	-0.92
JUNB	7.4e-06	130.1	245.2	-0.92
TMC4	q<=5.0e-20	118.8	62.6	0.92
EPHB2	q<=5.0e-20	2.8	1.5	0.92
ATP6AP1	q<=5.0e-20	362.4	191.3	0.92
SDC2	4.5e-08	67.4	127.8	-0.92
PLAU	q<=5.0e-20	59.1	31.3	0.92
SLC52A3	q<=5.0e-20	19.5	10.3	0.92
SERP2	1.6e-11	7.0	13.2	-0.92
CRYBG1	1.4e-09	23.4	44.3	-0.92
ADH1A	3.0e-08	1.0	1.9	-0.92
ALDH3A2	1.1e-15	53.5	101.4	-0.92
SHISA9	q<=5.0e-20	1.9	1.0	0.92
FTX	4.5e-04	36.8	69.5	-0.92
PLAAT2	9.8e-16	8.0	4.2	0.92
RBL2	q<=5.0e-20	36.5	68.9	-0.92
TTLL12	q<=5.0e-20	66.6	35.3	0.92
FBXL19	q<=5.0e-20	17.3	9.1	0.92
ESYT1	q<=5.0e-20	97.2	184.3	-0.92
PTPN4	q<=5.0e-20	5.8	10.9	-0.92
GAREM1	2.0e-16	4.1	7.7	-0.92
MIR6835	q<=5.0e-20	1.9	1.0	0.92
ZNF428	q<=5.0e-20	20.4	10.8	0.92
JAG2	1.9e-19	13.8	26.1	-0.92
SEMA3F	q<=5.0e-20	79.1	41.7	0.92
HSPE1	q<=5.0e-20	86.9	45.8	0.92
CDCA4	q<=5.0e-20	18.2	9.6	0.92
SYT17	q<=5.0e-20	10.1	5.3	0.92
PSME2	q<=5.0e-20	371.7	196.4	0.92
KLF13	q<=5.0e-20	49.8	94.1	-0.92
SLFN11	2.6e-13	12.4	23.4	-0.92
DOP1A	2.5e-19	7.0	13.2	-0.92
POPDC2	1.2e-06	4.1	7.8	-0.92
BCL3	q<=5.0e-20	86.8	45.8	0.92
SLC22A18	q<=5.0e-20	33.4	17.7	0.92
PLEKHG5	3.5e-16	8.9	16.9	-0.92
DCBLD2	q<=5.0e-20	14.9	28.4	-0.92
KIF25	1.4e-08	1.0	1.9	-0.92
SNED1	3.5e-15	6.2	11.8	-0.92
C14orf28	q<=5.0e-20	4.3	8.0	-0.92
IL15RA	6.8e-17	14.7	27.8	-0.92
PRRT2	q<=5.0e-20	3.7	1.9	0.92
SGCD	1.4e-07	6.4	12.0	-0.92
PPP1R37	q<=5.0e-20	55.3	29.2	0.92
TMEM125	q<=5.0e-20	35.4	18.9	0.91
SMIM29	q<=5.0e-20	74.9	39.8	0.91
SIX1	8.5e-17	11.8	6.3	0.91
SHC3	9.3e-09	1.0	1.9	-0.91
FRMD4B	q<=5.0e-20	10.3	19.3	-0.91
RARA	q<=5.0e-20	70.9	37.7	0.91
E2F7	q<=5.0e-20	1.9	1.0	0.91
ZC2HC1A	5.2e-11	7.2	13.6	-0.91
YIF1B	q<=5.0e-20	33.6	17.9	0.91
TOX3	q<=5.0e-20	10.6	5.7	0.91
TFPT	q<=5.0e-20	33.0	17.6	0.91
LPCAT1	q<=5.0e-20	61.8	33.0	0.91
IRAK2	7.6e-10	3.4	6.5	-0.91
PPDPF	q<=5.0e-20	885.6	469.9	0.91
BARD1	q<=5.0e-20	9.6	5.1	0.91
ADAMTS7	q<=5.0e-20	4.3	2.3	0.91
DCHS1	2.9e-16	7.7	14.5	-0.91
TOMM40	q<=5.0e-20	90.3	47.9	0.91
CYB561D2	q<=5.0e-20	51.6	27.5	0.91
WWC2	7.1e-16	7.7	14.4	-0.91
CHAC1	q<=5.0e-20	3.6	1.9	0.91
PRKAA1	q<=5.0e-20	31.1	58.5	-0.91
PAXX	q<=5.0e-20	82.0	43.6	0.91
GTF2IRD1	q<=5.0e-20	31.3	16.6	0.91
CDKN2D	q<=5.0e-20	20.0	10.7	0.91
PLEKHF1	4.9e-07	11.6	21.9	-0.91
ATP11B	1.2e-16	16.7	31.3	-0.91
CD40	3.6e-15	17.9	33.5	-0.91
AEBP1	q<=5.0e-20	402.6	215.0	0.91
MAP1A	4.9e-12	6.4	12.0	-0.91
ADH5	q<=5.0e-20	96.9	182.6	-0.91
AGPAT4	2.5e-16	2.8	5.3	-0.91
ALDOA	q<=5.0e-20	13.9	7.4	0.91
HOMER2	2.6e-05	40.7	76.3	-0.91
LINC01504	8.3e-06	1.2	2.3	-0.91
ITGA2	1.7e-06	15.7	29.5	-0.91
HSPA12A	4.2e-12	9.7	18.2	-0.91
GRPR	5.5e-14	2.2	4.1	-0.91
ASB9	4.5e-04	2.5	4.6	-0.91
CLDN7	q<=5.0e-20	132.1	70.6	0.91
WASF2	q<=5.0e-20	86.0	161.7	-0.91
BCL2L12	q<=5.0e-20	25.6	13.6	0.91
ARHGEF16	q<=5.0e-20	22.4	11.9	0.91
CASP1	q<=5.0e-20	29.3	55.3	-0.91
UNC119B	q<=5.0e-20	17.4	32.6	-0.91
CXCR4	6.9e-15	105.8	56.3	0.91
PAQR6	q<=5.0e-20	6.2	3.3	0.90
SIDT2	q<=5.0e-20	36.2	67.6	-0.90
PGM1	1.2e-12	60.1	111.8	-0.90
SNTB1	2.4e-09	6.3	11.7	-0.90
BAX	q<=5.0e-20	113.6	60.8	0.90
SSBP2	q<=5.0e-20	10.0	18.5	-0.90
TRIM22	1.5e-13	44.9	83.5	-0.90
CELSR3	q<=5.0e-20	1.9	1.0	0.90
TMEM163	3.1e-04	2.5	4.7	-0.90
LRWD1	q<=5.0e-20	22.7	12.2	0.90
PGR	1.4e-04	7.9	14.7	-0.90
BASP1	q<=5.0e-20	52.0	27.8	0.90
IQGAP2	4.0e-05	23.7	44.4	-0.90
STOX1	6.3e-06	6.3	11.8	-0.90
PIK3IP1	q<=5.0e-20	46.3	86.4	-0.90
ADAT3	q<=5.0e-20	1.9	1.0	0.90
SLC25A30	q<=5.0e-20	12.6	23.5	-0.90
S100A6	7.3e-07	1537.7	2867.1	-0.90
MZT2B	q<=5.0e-20	86.7	46.5	0.90
C19orf48	q<=5.0e-20	74.5	39.9	0.90
SMOC2	4.7e-07	62.1	116.2	-0.90
SLC27A1	q<=5.0e-20	25.4	47.5	-0.90
HIPK3	q<=5.0e-20	41.2	76.6	-0.90
HIPK2	4.2e-13	16.9	31.4	-0.90
SBDS	q<=5.0e-20	115.7	215.3	-0.90
FXYD2	5.9e-17	1.0	1.9	-0.90
ZNF426-DT	2.7e-11	1.7	3.2	-0.90
ANO9	q<=5.0e-20	13.7	7.4	0.90
ARGLU1	3.7e-16	54.7	102.2	-0.90
NUAK1	4.3e-12	13.1	24.4	-0.90
BRI3BP	q<=5.0e-20	13.9	7.5	0.90
ALDH4A1	1.7e-11	32.0	59.5	-0.90
RABEP2	q<=5.0e-20	34.8	18.7	0.90
ZMAT1	1.0e-09	11.5	21.5	-0.90
DHCR7	q<=5.0e-20	71.5	38.4	0.90
CYFIP2	q<=5.0e-20	13.6	7.3	0.90
PCDHB14	4.9e-15	3.2	5.9	-0.90
COPZ2	5.9e-11	39.2	73.0	-0.90
SYT9	q<=5.0e-20	2.7	1.4	0.90
LY6K	4.5e-08	1.0	1.9	-0.90
PCSK4	q<=5.0e-20	3.8	2.0	0.90
DUSP22	q<=5.0e-20	27.7	51.7	-0.90
CATSPER2	7.0e-05	2.6	4.9	-0.90
C18orf32	8.7e-18	1.6	3.0	-0.90
ZFP37	8.1e-18	1.5	2.7	-0.90
CFL1	q<=5.0e-20	1364.2	731.7	0.90
ALYREF	q<=5.0e-20	107.4	57.7	0.90
ZNF704	1.2e-13	11.7	21.7	-0.89
SEPHS2	q<=5.0e-20	154.6	83.4	0.89
TXNDC17	q<=5.0e-20	46.2	24.9	0.89
KMT2A	1.1e-18	12.2	22.6	-0.89
DOCK9	q<=5.0e-20	25.8	47.8	-0.89
SPON1	7.8e-07	21.5	39.8	-0.89
FLYWCH2	q<=5.0e-20	76.5	41.4	0.89
APBB1	q<=5.0e-20	26.6	49.3	-0.89
RCC1	q<=5.0e-20	56.7	30.7	0.89
PITPNM2	2.6e-13	3.8	7.0	-0.89
ZNF774	3.1e-09	3.5	6.4	-0.89
LINC01058	1.3e-18	1.0	1.9	-0.89
PUSL1	q<=5.0e-20	16.2	8.7	0.89
RYR3	1.9e-15	1.0	1.8	-0.89
DNHD1	3.0e-05	1.5	2.8	-0.89
RGS19	q<=5.0e-20	30.2	16.3	0.89
PROCR	7.1e-12	15.7	29.0	-0.89
ELMO1	2.3e-16	9.4	17.5	-0.89
SMYD4	q<=5.0e-20	7.7	14.3	-0.89
FUT4	6.4e-19	2.0	3.8	-0.89
EPB41L3	6.4e-08	21.0	38.8	-0.89
CCDC88A	5.1e-06	6.4	11.9	-0.89
ANAPC11	q<=5.0e-20	168.2	90.7	0.89
MRPL13	q<=5.0e-20	87.6	47.4	0.89
IGFBP3	6.4e-14	120.0	221.8	-0.89
LRRC61	q<=5.0e-20	14.8	8.0	0.89
TMX4	q<=5.0e-20	31.0	57.2	-0.89
RSAD2	q<=5.0e-20	19.3	10.4	0.89
TOX2	9.6e-04	2.2	4.1	-0.89
APLF	q<=5.0e-20	2.3	4.3	-0.89
NTHL1	q<=5.0e-20	44.6	24.1	0.89
CUTC	2.2e-09	22.9	42.5	-0.89
DDO	5.1e-17	4.1	7.7	-0.89
TMEM9	q<=5.0e-20	229.0	123.5	0.89
MXRA5	q<=5.0e-20	90.6	48.9	0.89
S100A16	q<=5.0e-20	442.6	239.3	0.89
DNMT3B	q<=5.0e-20	4.5	2.4	0.89
CDADC1	q<=5.0e-20	6.8	12.5	-0.89
TOR3A	q<=5.0e-20	97.1	52.5	0.89
LETMD1	q<=5.0e-20	56.8	105.0	-0.89
CENPN	q<=5.0e-20	4.9	2.6	0.89
SNRPE	q<=5.0e-20	117.5	63.5	0.89
DSE	1.8e-13	9.1	16.7	-0.88
ICA1L	1.0e-08	1.6	3.0	-0.88
RHOD	q<=5.0e-20	65.0	35.4	0.88
HSD17B7	q<=5.0e-20	35.0	19.0	0.88
NREP	q<=5.0e-20	4.6	2.5	0.88
LAMP3	3.0e-18	4.9	2.7	0.88
PLXNA3	q<=5.0e-20	16.8	9.1	0.88
ABHD1	1.2e-09	2.2	4.0	-0.88
PDIA4	q<=5.0e-20	232.1	126.0	0.88
HPGDS	2.8e-09	3.1	5.7	-0.88
UBE2E3	q<=5.0e-20	57.3	105.4	-0.88
CAMK2D	q<=5.0e-20	19.0	35.1	-0.88
GPCPD1	1.3e-15	18.2	33.3	-0.88
SKAP1	q<=5.0e-20	22.8	12.4	0.88
SERINC1	q<=5.0e-20	233.4	428.9	-0.88
BEST1	1.8e-14	2.4	4.3	-0.88
PASK	q<=5.0e-20	10.4	5.6	0.88
ZNF778	q<=5.0e-20	2.0	3.6	-0.88
PMP22	7.9e-18	191.6	353.5	-0.88
GEN1	q<=5.0e-20	4.8	2.6	0.88
JMJD7-PLA2G4B	8.1e-06	1.4	2.6	-0.88
ENTPD7	q<=5.0e-20	9.4	5.1	0.88
GLI2	7.8e-10	1.4	2.6	-0.88
HPS5	q<=5.0e-20	18.0	33.1	-0.88
HERC1	q<=5.0e-20	14.0	25.8	-0.88
ZNF229	5.7e-04	2.8	5.1	-0.88
CYB5R3	4.8e-19	156.2	287.8	-0.88
ABHD12	q<=5.0e-20	122.9	66.6	0.88
PHKG2	q<=5.0e-20	21.7	11.8	0.88
VPS13D	q<=5.0e-20	15.2	27.9	-0.88
KNTC1	q<=5.0e-20	11.6	6.3	0.88
APOL6	2.2e-09	22.2	40.9	-0.88
CENPS	q<=5.0e-20	2.8	1.5	0.88
SLC9B2	1.4e-05	3.4	6.2	-0.88
PFDN6	q<=5.0e-20	142.1	77.1	0.88
DUSP19	q<=5.0e-20	1.6	2.9	-0.88
SAMD8	1.1e-13	14.0	25.8	-0.88
ELOVL7	9.9e-04	5.5	10.1	-0.88
RNF208	q<=5.0e-20	16.5	9.0	0.88
COL15A1	1.6e-13	62.6	115.2	-0.88
MIR210HG	q<=5.0e-20	2.7	1.4	0.88
INAFM2	q<=5.0e-20	13.6	24.8	-0.87
WBP4	q<=5.0e-20	15.5	28.2	-0.87
TSPAN4	1.5e-15	69.6	126.8	-0.87
OTUD3	4.7e-19	5.3	9.6	-0.87
ARF1	q<=5.0e-20	933.4	509.8	0.87
EID3	9.9e-18	2.4	4.4	-0.87
GJA4	1.1e-09	17.4	31.7	-0.87
FAM117A	q<=5.0e-20	17.0	31.2	-0.87
GAPLINC	8.2e-20	3.5	1.9	0.87
ZMAT3	4.8e-17	10.2	18.6	-0.87
DOCK1	q<=5.0e-20	32.8	60.0	-0.87
RFTN1	5.2e-10	26.0	47.6	-0.87
SPATA17	q<=5.0e-20	1.8	1.0	0.87
TMEM150C	2.7e-09	17.9	32.7	-0.87
ARRDC1	q<=5.0e-20	68.5	37.5	0.87
KIF13A	q<=5.0e-20	32.8	59.9	-0.87
TMEM43	q<=5.0e-20	72.5	132.1	-0.87
FAS	2.2e-15	8.8	16.1	-0.87
WWTR1	q<=5.0e-20	39.0	71.5	-0.87
EEA1	5.0e-17	10.5	19.3	-0.87
NKD2	q<=5.0e-20	7.3	4.0	0.87
MAPKAPK2	q<=5.0e-20	192.9	105.2	0.87
NANS	q<=5.0e-20	95.9	52.5	0.87
C11orf53	1.1e-08	1.0	1.8	-0.87
UNC5A	q<=5.0e-20	2.2	1.2	0.87
IL18R1	1.4e-05	1.8	3.3	-0.87
NUBP2	q<=5.0e-20	108.1	59.1	0.87
PRXL2A	1.1e-11	46.7	85.1	-0.87
MGST1	5.9e-11	384.4	700.4	-0.87
FBLN7	8.0e-18	11.8	21.5	-0.87
SFXN5	q<=5.0e-20	16.5	9.0	0.87
LRCH1	q<=5.0e-20	13.5	24.5	-0.87
FBP1	q<=5.0e-20	72.4	39.6	0.87
BTG2	6.5e-06	184.4	336.6	-0.87
ELOB	q<=5.0e-20	436.5	238.4	0.87
SETD7	1.2e-18	74.3	135.9	-0.87
IL1RAP	6.9e-11	5.3	9.7	-0.87
VCL	q<=5.0e-20	80.5	147.4	-0.87
ARHGAP25	4.2e-14	10.5	19.2	-0.87
DNAJC27	q<=5.0e-20	4.0	7.3	-0.87
HM13	q<=5.0e-20	270.8	148.5	0.87
SCAMP3	q<=5.0e-20	183.2	100.5	0.87
SNX33	q<=5.0e-20	25.5	46.5	-0.86
SLC2A1	q<=5.0e-20	69.1	38.0	0.86
SIGIRR	q<=5.0e-20	65.1	35.8	0.86
CCL17	6.6e-15	2.0	1.1	0.86
RAD51-AS1	8.3e-11	13.0	23.6	-0.86
RNF187	q<=5.0e-20	164.0	90.0	0.86
EFNB2	2.4e-19	10.3	18.6	-0.86
LRRC26	1.8e-11	2.1	1.1	0.86
PLEKHF2	q<=5.0e-20	72.0	39.8	0.86
LOH12CR2	q<=5.0e-20	2.1	3.9	-0.86
BTC	2.2e-07	2.9	5.3	-0.86
CERCAM	q<=5.0e-20	98.6	54.4	0.86
KDELR3	q<=5.0e-20	70.3	38.7	0.86
MRPL24	q<=5.0e-20	250.4	138.2	0.86
HNRNPAB	q<=5.0e-20	229.3	126.7	0.86
GALT	q<=5.0e-20	10.0	18.2	-0.86
PCGF5	q<=5.0e-20	21.4	38.9	-0.86
SOCS3-DT	q<=5.0e-20	1.8	1.0	0.86
CXXC5	q<=5.0e-20	123.5	68.0	0.86
JCAD	2.4e-12	12.6	23.0	-0.86
EFNA4	q<=5.0e-20	43.4	23.8	0.86
RAB3IL1	3.5e-17	16.4	29.9	-0.86
MAN2A2	7.1e-19	15.8	28.7	-0.86
C9orf72	3.1e-18	9.8	17.9	-0.86
GGH	q<=5.0e-20	46.9	25.8	0.86
ERBB3	q<=5.0e-20	195.7	107.5	0.86
FMO4	9.4e-20	6.7	12.2	-0.86
THBS2	q<=5.0e-20	61.7	34.0	0.86
NCAPG2	q<=5.0e-20	19.5	10.7	0.86
PTAR1	1.2e-16	11.7	21.3	-0.86
DENND4C	2.5e-18	19.5	35.3	-0.86
POLA2	q<=5.0e-20	3.7	2.0	0.86
ATL2	3.8e-10	35.8	64.7	-0.86
DLL4	1.6e-13	9.5	17.3	-0.86
SIM2	q<=5.0e-20	2.5	1.4	0.86
SLC19A1	q<=5.0e-20	13.4	7.4	0.86
ZDHHC17	q<=5.0e-20	18.2	33.0	-0.86
ZNHIT2	q<=5.0e-20	16.6	9.2	0.86
CACNB4	4.7e-05	1.0	1.8	-0.86
CDK13-DT	q<=5.0e-20	1.1	2.0	-0.86
ZNF214	1.6e-06	1.3	2.4	-0.86
NRROS	3.1e-11	5.4	9.8	-0.86
WDR90	q<=5.0e-20	16.6	9.2	0.86
PLA2G4F	q<=5.0e-20	2.2	1.2	0.86
HEG1	2.7e-15	24.1	43.7	-0.86
SLFN12	1.6e-11	5.5	10.0	-0.86
BST2	q<=5.0e-20	440.4	243.4	0.86
CHPT1	2.1e-08	88.0	159.5	-0.86
DMRT3	2.3e-06	1.0	1.8	-0.85
RNPEP	q<=5.0e-20	108.9	60.5	0.85
APOO	q<=5.0e-20	37.9	21.1	0.85
ADPRM	q<=5.0e-20	10.1	18.1	-0.85
COQ8A	4.9e-09	50.2	90.3	-0.85
PDPR	2.9e-16	9.4	17.0	-0.85
ZWILCH	q<=5.0e-20	12.4	6.9	0.85
SCAND1	q<=5.0e-20	74.0	41.0	0.85
ARL6IP1	q<=5.0e-20	331.0	183.4	0.85
LAG3	q<=5.0e-20	3.8	2.1	0.85
WDFY2	1.4e-17	4.1	7.4	-0.85
IFRD1	3.9e-15	22.1	39.8	-0.85
EIF4EBP2	2.4e-17	67.9	122.2	-0.85
TSSK4	7.4e-05	2.6	4.7	-0.85
CYTH3	q<=5.0e-20	22.2	39.9	-0.85
LINC02716	2.6e-10	1.0	1.8	-0.85
PPFIA3	q<=5.0e-20	6.8	3.8	0.85
LMBRD1	q<=5.0e-20	37.3	67.4	-0.85
GID4	q<=5.0e-20	10.2	18.4	-0.85
TMEM140	1.5e-15	25.6	46.1	-0.85
ZNF750	2.1e-04	5.4	9.8	-0.85
ZFP36L1	q<=5.0e-20	341.1	615.3	-0.85
FUT10	q<=5.0e-20	4.8	8.7	-0.85
THY1	q<=5.0e-20	56.8	31.6	0.85
C1QL3	8.1e-04	1.0	1.8	-0.85
CIB1	q<=5.0e-20	237.1	131.8	0.85
AGMO	3.4e-06	1.0	1.8	-0.85
IKBKE	q<=5.0e-20	12.9	7.2	0.85
TTYH2	3.1e-13	4.8	8.6	-0.85
CAMSAP3	q<=5.0e-20	24.3	13.5	0.85
ALG9	q<=5.0e-20	2.7	4.9	-0.85
DYNC1LI2	q<=5.0e-20	52.3	94.0	-0.85
NFKBIE	q<=5.0e-20	21.2	11.8	0.85
TEAD4	q<=5.0e-20	25.2	13.9	0.85
RALGAPA2	2.9e-13	12.6	22.7	-0.85
RPL21	q<=5.0e-20	878.7	1582.0	-0.85
GPATCH11	7.0e-14	10.3	18.5	-0.85
GREB1	9.1e-10	33.2	18.5	0.85
ZBTB38	q<=5.0e-20	26.8	48.3	-0.85
SELENOH	q<=5.0e-20	47.6	26.5	0.85
DTYMK	q<=5.0e-20	68.7	38.4	0.84
SH3RF3	2.6e-13	3.0	5.5	-0.84
PPP3CB-AS1	q<=5.0e-20	2.5	4.5	-0.84
TBCB	q<=5.0e-20	128.6	72.0	0.84
MICALL1	1.1e-06	17.8	32.0	-0.84
ALG3	q<=5.0e-20	84.6	47.1	0.84
RALGPS2	q<=5.0e-20	26.1	14.6	0.84
TBILA	q<=5.0e-20	2.3	1.3	0.84
C4A	q<=5.0e-20	20.9	11.7	0.84
POP7	q<=5.0e-20	83.6	46.6	0.84
TBC1D2B	1.8e-17	21.3	38.2	-0.84
SOS1	3.4e-19	19.8	35.3	-0.84
SHROOM2	q<=5.0e-20	9.4	5.3	0.84
AXIN2	3.5e-16	5.0	8.9	-0.84
TUBB2A	2.6e-13	27.6	49.3	-0.84
PCDHGA12	1.3e-08	1.2	2.1	-0.84
FADD	q<=5.0e-20	4.2	2.3	0.84
ZBTB47	3.4e-19	8.3	14.8	-0.84
JUND	2.1e-09	175.5	313.3	-0.84
KDM4B	q<=5.0e-20	82.4	46.1	0.84
ADM5	1.5e-07	1.0	1.8	-0.84
BCL6B	4.7e-14	10.8	19.4	-0.84
ELAC1	q<=5.0e-20	4.4	8.0	-0.84
DNAAF3	q<=5.0e-20	1.8	1.0	0.84
BAZ2B	2.1e-14	12.5	22.3	-0.84
SLC1A4	q<=5.0e-20	62.8	35.2	0.84
CLK1	1.2e-18	82.8	148.4	-0.84
CPQ	q<=5.0e-20	56.6	101.2	-0.84
ING3	q<=5.0e-20	9.1	16.3	-0.84
VPS36	q<=5.0e-20	27.2	48.7	-0.84
PCP2	1.2e-15	5.1	2.8	0.84
NOSTRIN	2.1e-11	25.3	45.5	-0.84
BBS2	q<=5.0e-20	34.5	61.9	-0.84
TIMP1	q<=5.0e-20	953.1	533.1	0.84
ZNF853	1.7e-13	7.1	12.8	-0.84
VPS13C	1.7e-15	14.2	25.5	-0.84
SKI	q<=5.0e-20	41.6	74.6	-0.84
TUBG1	q<=5.0e-20	62.3	34.9	0.84
PFDN2	q<=5.0e-20	180.3	100.7	0.84
MGARP	2.0e-11	1.0	1.8	-0.84
CABLES2	q<=5.0e-20	11.8	6.5	0.84
KIAA1614	q<=5.0e-20	1.0	1.8	-0.84
PLEKHG6	2.2e-10	12.5	22.4	-0.84
FBXO6	q<=5.0e-20	31.4	17.5	0.84
RASSF8	3.4e-11	12.6	22.6	-0.84
SMARCA2	q<=5.0e-20	84.7	151.5	-0.84
CCDC137	q<=5.0e-20	31.5	17.6	0.84
CCNDBP1	q<=5.0e-20	31.2	56.1	-0.84
TLE3	q<=5.0e-20	72.3	40.3	0.84
VAV2	q<=5.0e-20	34.9	19.4	0.84
LINC00506	6.3e-20	1.0	1.8	-0.84
HEYL	q<=5.0e-20	11.8	6.6	0.84
GLI1	2.8e-05	1.0	1.8	-0.84
SHISA6	2.1e-04	1.0	1.8	-0.83
WASIR2	q<=5.0e-20	1.8	1.0	0.83
CA5B	3.3e-17	4.3	7.6	-0.83
TM6SF1	1.5e-10	2.6	4.6	-0.83
RHEBL1	q<=5.0e-20	3.1	1.7	0.83
ZNF699	4.0e-12	1.0	1.8	-0.83
NNMT	2.4e-11	99.5	177.1	-0.83
HOPX	1.6e-16	22.2	12.5	0.83
SP140	1.4e-12	2.7	1.5	0.83
DSCC1	q<=5.0e-20	9.6	5.4	0.83
MAN2C1	q<=5.0e-20	23.9	42.4	-0.83
GPSM2	q<=5.0e-20	7.9	4.4	0.83
C22orf39	q<=5.0e-20	22.2	39.4	-0.83
MANEA-DT	1.4e-06	1.1	1.9	-0.83
APLP1	3.1e-19	5.1	2.8	0.83
CTDSP2	q<=5.0e-20	133.3	237.4	-0.83
DBF4	q<=5.0e-20	10.7	6.1	0.83
WSB1	1.8e-16	34.2	60.7	-0.83
ITM2B	q<=5.0e-20	115.8	205.6	-0.83
TBX5	1.3e-07	2.2	3.9	-0.83
LINC00092	6.5e-06	1.0	1.8	-0.83
KCTD5	q<=5.0e-20	46.6	26.2	0.83
ASIC3	q<=5.0e-20	1.8	1.0	0.83
RIMKLB	q<=5.0e-20	22.1	39.3	-0.83
BNIP3L	7.6e-16	92.8	164.5	-0.83
MRPL55	q<=5.0e-20	132.5	74.5	0.83
SDR42E1	2.1e-07	2.8	5.1	-0.83
TTC33	q<=5.0e-20	6.9	12.2	-0.83
LRRC59	q<=5.0e-20	129.4	72.6	0.83
SLC37A1	q<=5.0e-20	28.1	15.8	0.83
CCDC27	5.8e-18	2.1	3.7	-0.83
SNHG5	1.3e-15	303.4	539.5	-0.83
